activityID,riskID
100722,13246
120865,12860
120866,14048
115688,12477
115552,12476
115677,12481
100041,11528
100041,10114
114970,11602
114970,14242
115492,11530
102033,14030
126932,14183
102183,10513
110657,14595
120300,14188
125293,12285
119403,11937
119402,13251
114385,14663
131708,13212
128443,11653
128557,12286
115621,12466
118906,14307
118906,14308
119736,13213
101053,13185
124710,13819
134143,12719
114646,11236
114646,12320
133765,13121
109499,11515
109422,13155
133766,10685
109424,11500
109889,11584
102966,13580
102966,14821
102964,13579
102964,14361
116097,13977
102958,13697
102962,13767
132460,13791
102959,12516
108779,14519
102968,13156
102961,13768
133946,11399
118046,14335
111304,13191
119730,14334
112203,10431
126998,15082
128528,13942
113890,12598
113891,13752
113997,13754
123197,13753
108095,11286
120150,14665
108096,12015
105431,12224
112505,12007
120613,14276
120614,15337
124479,13079
133939,10486
133938,14770
123140,13277
117174,12404
121129,14831
119766,11738
127542,15206
127542,13632
125863,14014
125863,14013
125863,14012
106786,11196
110916,14788
134120,15289
104443,10716
132408,14481
117478,14350
117490,13135
117489,13137
117501,13136
109406,13420
135049,14009
121433,13138
126174,14057
120107,13381
106705,11059
120108,14058
121434,14056
119580,13133
106704,11058
134035,15077
132662,15058
114473,11688
108442,12544
106855,13202
131995,13930
113782,12188
127178,14218
127176,12624
115035,15182
134550,14716
106439,13759
127394,10340
130146,10618
121681,11629
127393,11017
134552,10628
118870,12728
109003,15374
134551,12684
110084,10023
106438,10932
130147,11080
117359,11601
108570,11218
117358,15052
115801,11329
114934,10957
121263,11697
121264,11698
121265,11699
121266,11700
109279,13602
109280,13603
109281,13604
109282,13605
118664,10177
118665,10178
118666,10179
118667,10180
132598,12886
103596,11703
103596,13458
121188,11981
111894,11917
110321,14623
103648,14781
105936,12080
116213,10762
116649,15418
109902,12897
109897,12896
109899,14706
107797,10139
109901,11492
113414,12895
110747,14707
131457,13231
131455,13169
100352,10429
100351,14998
131454,14888
111812,11929
111812,11895
131989,14974
123235,10344
123236,10345
107629,14434
132756,14439
124810,13839
101956,12583
125768,12041
105301,10291
133819,11817
135149,14007
113982,12364
133040,14882
104210,14035
104211,10684
103387,14685
103387,13999
103387,14686
103385,14125
111826,13539
112526,10639
128770,10640
124296,10268
124296,13705
134508,11764
107255,10267
134511,10270
134511,12852
114466,11608
114466,11287
110522,12853
134510,10269
116250,11270
130787,14704
100304,10055
111759,11557
111759,11558
105979,12988
104837,14460
124391,12989
105980,12959
124257,12000
124257,12001
124257,12330
112467,13380
111758,11201
120577,12412
127993,12543
112083,12468
132920,12469
132921,12470
129843,14054
129843,12471
110295,14885
103455,11537
103288,10527
102860,10466
126879,12861
127632,12862
113100,15345
102006,15346
131257,15157
131166,14860
119004,12997
132166,13966
132166,13967
132164,14991
130463,14737
130463,14326
104649,10746
104650,10747
101019,13360
103838,14098
126540,13751
128295,11513
133743,12575
124179,10281
110704,10458
119613,10634
103893,10635
115189,13412
104350,11882
105715,10911
103388,10539
119933,10274
114512,11898
123157,15353
123119,12650
123177,10195
124745,12883
124745,12884
129204,10300
122983,12178
129211,10540
129210,13821
102299,13063
131688,13192
134652,13201
110513,13902
108392,11381
104271,10698
104269,10699
104269,10697
120015,10484
120015,10655
112044,12534
128240,10579
103616,10580
103617,12393
114290,10578
134942,12394
119530,13077
119531,12553
116132,14875
111368,14876
117179,12711
108701,14386
127161,14215
126842,14163
126842,14168
126864,13512
126864,14171
129731,13786
126844,14164
115037,12377
115037,13511
126848,14170
125160,13925
126852,14162
126854,14169
112690,12032
126845,14165
126845,14166
126845,14167
126632,12031
132374,12255
110820,14606
106419,12721
132375,12334
132373,13960
106421,11625
106420,10556
132377,15278
132376,10279
132376,10501
100859,14807
132207,15066
119617,10846
129631,14605
124882,14604
